antiguedad_meses,gasto_mensual,visitas_ultimo_mes,dias_desde_ultima_visita,tickets_soporte,plan,metodo_pago,descuento_activo,cancelo
7,8.77,4,42,0,basico,efectivo,0,1
14,18.52,1,52,1,estandar,tarjeta,0,1
22,12.26,12,52,0,basico,transferencia,1,1
19,29.27,13,18,1,estandar,tarjeta,0,0
13,14.83,6,24,1,basico,transferencia,0,0
3,50.97,9,8,0,premium,tarjeta,0,0
15,22.3,14,1,1,estandar,tarjeta,0,1
10,48.4,6,4,1,premium,tarjeta,0,0
8,20.59,17,16,0,estandar,tarjeta,1,0
23,14.84,8,11,0,basico,efectivo,0,1
2,51.58,6,1,2,premium,efectivo,0,1
13,26.99,10,33,0,estandar,transferencia,1,0
1,31.65,13,21,0,estandar,tarjeta,0,0
19,9.61,1,14,1,basico,efectivo,1,1
23,24.46,8,5,0,estandar,transferencia,0,0
15,41.34,5,8,0,premium,tarjeta,0,0
9,25.14,2,0,0,estandar,tarjeta,0,0
31,13.08,6,2,1,basico,transferencia,1,0
33,25.1,10,0,0,estandar,tarjeta,0,0
17,23.1,1,12,2,estandar,tarjeta,0,0
36,43.04,8,20,1,premium,transferencia,1,0
7,13.38,12,10,0,basico,tarjeta,0,0
12,11.36,8,12,2,basico,tarjeta,0,0
1,40.39,4,5,0,premium,tarjeta,0,0
5,17.41,15,7,1,estandar,transferencia,0,0
5,22.62,5,2,2,estandar,efectivo,0,1
19,19.47,10,39,2,estandar,transferencia,0,1
6,8.66,16,36,0,basico,transferencia,0,0
2,23.31,11,13,1,estandar,tarjeta,0,0
8,11.42,11,13,0,basico,transferencia,1,0
9,9.34,7,31,2,basico,tarjeta,1,0
4,33.76,10,17,0,estandar,tarjeta,0,0
14,19.96,13,28,0,estandar,transferencia,0,0
16,49.84,6,13,1,premium,transferencia,0,1
3,11.35,9,11,1,basico,tarjeta,0,0
21,9.37,5,55,3,basico,efectivo,0,1
6,47.35,4,2,0,premium,transferencia,0,0
9,10.19,4,15,2,basico,tarjeta,0,0
18,8.77,4,24,0,basico,tarjeta,0,1
9,19.16,7,9,0,basico,tarjeta,1,0
5,16.22,4,16,0,estandar,tarjeta,1,1
14,44.02,9,6,2,premium,tarjeta,0,0
27,25.76,6,6,2,estandar,tarjeta,0,0
25,30.63,10,4,0,estandar,tarjeta,0,0
8,10.41,9,8,0,basico,tarjeta,0,0
6,22.64,15,1,0,basico,transferencia,0,1
7,28.04,1,21,0,estandar,transferencia,0,0
25,5.0,4,8,1,basico,tarjeta,0,0
7,6.19,2,11,1,basico,tarjeta,1,0
35,12.95,11,45,0,basico,tarjeta,0,0
18,7.42,1,16,2,basico,tarjeta,1,1
13,27.19,2,34,0,estandar,tarjeta,0,1
8,23.19,5,14,2,estandar,tarjeta,1,1
14,7.22,11,25,0,basico,tarjeta,0,0
5,21.14,10,7,0,estandar,efectivo,0,0
4,28.41,7,43,0,estandar,tarjeta,0,1
18,16.91,11,20,0,estandar,transferencia,0,0
12,49.18,5,81,2,premium,tarjeta,0,1
22,16.3,11,17,0,basico,tarjeta,0,0
16,43.67,1,8,1,premium,efectivo,0,0
8,6.38,3,67,0,basico,tarjeta,1,1
25,14.22,12,44,1,basico,transferencia,0,0
9,10.05,5,49,0,basico,efectivo,0,1
29,18.94,3,2,0,estandar,tarjeta,1,0
8,19.64,8,75,1,basico,tarjeta,0,1
4,8.46,3,11,2,basico,tarjeta,0,0
33,19.11,9,9,0,estandar,tarjeta,0,0
8,13.14,3,21,2,basico,tarjeta,0,1
9,11.73,8,49,0,basico,tarjeta,0,1
4,17.94,10,20,0,basico,efectivo,0,0
12,10.48,6,0,1,basico,transferencia,0,0
5,10.52,6,3,3,basico,tarjeta,0,0
31,13.34,12,7,0,basico,tarjeta,0,0
10,12.8,4,25,1,basico,transferencia,0,0
6,25.92,3,11,1,estandar,efectivo,0,1
13,46.09,11,68,0,premium,tarjeta,0,1
50,25.66,6,13,0,estandar,tarjeta,0,0
14,23.33,2,29,2,estandar,efectivo,0,1
11,48.33,11,2,0,premium,efectivo,0,0
13,43.56,16,38,0,premium,efectivo,0,1
22,28.22,12,9,1,estandar,tarjeta,0,1
21,50.55,7,4,0,premium,tarjeta,0,0
15,42.29,5,1,1,premium,tarjeta,1,0
25,34.62,5,6,0,estandar,tarjeta,1,0
14,22.15,14,14,1,estandar,efectivo,0,0
11,9.18,8,1,0,basico,tarjeta,0,0
13,14.16,8,64,0,basico,transferencia,0,1
8,26.77,9,7,0,estandar,efectivo,0,1
23,25.29,2,1,0,estandar,efectivo,0,0
8,15.27,2,46,1,basico,transferencia,0,1
2,26.01,4,8,0,estandar,efectivo,0,1
4,33.26,5,9,0,estandar,tarjeta,1,0
17,44.79,6,32,1,premium,tarjeta,0,0
7,8.58,5,19,1,basico,tarjeta,1,0
21,9.79,9,7,0,basico,efectivo,0,0
13,26.89,8,0,1,estandar,efectivo,0,0
23,46.94,13,54,1,premium,tarjeta,0,0
2,45.83,6,18,0,premium,tarjeta,1,0
8,41.6,3,26,0,premium,tarjeta,0,0
6,49.43,3,41,0,premium,tarjeta,0,1
56,19.75,2,4,0,basico,transferencia,0,0
9,12.12,0,6,1,basico,tarjeta,0,0
3,19.24,5,15,0,basico,transferencia,0,0
16,28.47,12,4,0,estandar,tarjeta,1,0
6,53.87,14,23,0,premium,tarjeta,0,0
24,13.89,7,8,0,basico,tarjeta,1,0
27,25.55,6,5,2,estandar,efectivo,0,0
6,15.37,7,77,1,basico,transferencia,0,1
7,10.27,8,4,0,basico,tarjeta,0,0
15,13.63,10,30,2,basico,tarjeta,0,0
25,17.32,7,46,0,basico,efectivo,0,1
16,48.28,10,51,1,premium,transferencia,0,0
9,11.88,1,30,2,basico,transferencia,0,1
4,45.8,6,0,1,premium,transferencia,0,0
37,28.03,8,22,1,estandar,efectivo,1,1
17,14.9,5,24,1,basico,tarjeta,1,0
42,15.0,17,37,0,basico,transferencia,0,0
18,46.36,5,50,0,premium,tarjeta,0,1
39,8.7,2,27,2,basico,tarjeta,0,0
7,42.34,5,14,3,premium,efectivo,1,1
7,13.84,2,1,1,basico,efectivo,0,0
11,28.33,4,14,0,estandar,tarjeta,0,0
6,47.81,1,22,1,premium,tarjeta,0,0
3,9.3,9,6,1,basico,efectivo,0,0
8,11.4,4,5,0,basico,efectivo,0,1
18,40.3,2,7,0,premium,transferencia,1,0
5,6.43,5,3,1,basico,tarjeta,0,0
5,12.33,5,44,0,basico,tarjeta,0,1
8,17.43,13,32,1,basico,efectivo,0,1
6,12.4,3,90,0,basico,transferencia,0,1
9,32.63,4,2,0,estandar,transferencia,0,0
12,24.34,15,17,0,estandar,transferencia,1,0
5,12.12,11,3,0,basico,tarjeta,0,0
8,41.04,6,10,1,premium,tarjeta,0,0
12,10.61,8,25,1,basico,transferencia,0,0
6,7.24,7,26,0,basico,tarjeta,0,0
4,18.82,15,1,0,estandar,transferencia,1,0
7,40.31,5,28,1,premium,transferencia,0,1
10,12.34,4,28,0,basico,transferencia,1,1
3,9.05,4,31,0,basico,tarjeta,0,0
18,23.0,3,34,2,estandar,transferencia,0,1
10,46.64,13,5,2,premium,tarjeta,0,0
7,5.8,7,18,0,basico,tarjeta,0,0
3,12.32,6,22,0,basico,tarjeta,0,0
17,28.39,11,31,1,estandar,tarjeta,0,1
27,15.74,8,22,1,basico,efectivo,0,0
8,14.07,2,25,0,basico,efectivo,1,1
40,11.79,14,43,2,basico,tarjeta,0,0
12,9.51,6,5,0,basico,transferencia,0,0
12,24.67,6,13,1,estandar,tarjeta,0,0
22,51.61,3,58,0,premium,transferencia,0,1
18,26.09,4,17,0,estandar,efectivo,0,1
5,24.57,0,36,2,estandar,tarjeta,0,1
8,47.25,10,71,1,premium,tarjeta,0,1
25,12.2,11,8,1,basico,tarjeta,1,0
18,12.9,7,11,0,basico,tarjeta,0,0
40,44.01,5,42,0,premium,efectivo,0,1
16,10.34,3,12,0,basico,tarjeta,0,0
18,28.98,7,15,2,estandar,tarjeta,0,1
7,17.2,7,28,2,estandar,tarjeta,0,1
27,13.91,7,8,0,basico,efectivo,0,0
1,23.09,9,10,0,estandar,tarjeta,0,1
14,5.0,8,19,0,basico,transferencia,0,0
19,8.1,1,60,1,basico,transferencia,0,1
15,24.86,3,3,1,estandar,tarjeta,0,0
12,12.41,6,8,1,basico,tarjeta,0,0
11,27.96,7,0,1,estandar,tarjeta,0,0
12,48.23,0,20,0,premium,tarjeta,0,0
5,38.81,3,3,0,premium,transferencia,0,0
15,13.51,11,2,1,basico,transferencia,0,0
7,14.91,3,2,1,basico,tarjeta,0,0
8,12.88,4,15,1,basico,tarjeta,1,0
5,14.01,9,58,0,basico,tarjeta,0,1
60,37.27,10,5,0,premium,tarjeta,0,0
14,8.04,2,3,1,basico,transferencia,0,0
4,17.46,2,2,1,basico,transferencia,0,1
13,43.88,1,86,0,premium,transferencia,1,1
27,20.89,10,36,0,basico,tarjeta,0,0
15,6.89,3,19,5,basico,tarjeta,0,1
12,18.26,7,21,0,basico,tarjeta,0,0
6,22.56,10,6,0,estandar,efectivo,0,0
15,28.45,5,72,0,estandar,transferencia,0,1
21,10.82,9,18,1,basico,efectivo,0,0
21,45.46,12,2,0,premium,tarjeta,0,0
14,47.38,8,16,2,premium,tarjeta,0,0
14,42.55,5,34,0,premium,transferencia,0,1
29,15.2,5,0,1,basico,tarjeta,0,0
27,10.94,8,6,0,basico,transferencia,0,0
11,45.71,7,2,0,premium,tarjeta,1,0
38,5.0,11,47,1,basico,efectivo,0,0
4,23.65,12,20,1,estandar,tarjeta,0,1
14,30.05,11,1,0,estandar,efectivo,0,0
16,14.78,6,6,0,basico,tarjeta,0,0
6,28.55,9,8,0,estandar,tarjeta,0,0
3,45.21,8,2,0,premium,tarjeta,0,0
6,31.71,2,14,1,estandar,tarjeta,0,1
23,13.15,5,8,0,basico,efectivo,0,0
24,42.36,5,7,0,premium,efectivo,0,0
20,28.42,7,17,1,estandar,efectivo,0,1
7,28.69,3,25,1,estandar,efectivo,1,1
24,47.52,4,0,0,premium,transferencia,0,0
7,23.39,11,2,0,estandar,tarjeta,0,0
15,13.13,6,9,1,basico,efectivo,0,0
12,17.57,11,14,1,basico,tarjeta,0,0
9,13.91,5,2,2,basico,transferencia,0,0
19,19.09,2,28,1,estandar,tarjeta,0,0
22,22.48,10,4,0,estandar,transferencia,0,0
7,22.3,9,11,0,estandar,tarjeta,0,0
13,8.98,10,68,1,basico,tarjeta,0,1
21,16.55,11,46,1,estandar,tarjeta,0,0
1,52.56,5,62,1,premium,tarjeta,0,1
17,8.49,4,23,0,basico,tarjeta,0,0
21,21.78,5,0,2,estandar,tarjeta,0,0
17,17.23,9,13,0,estandar,tarjeta,0,0
18,28.47,8,5,0,estandar,tarjeta,0,0
12,11.64,9,8,0,basico,tarjeta,1,0
20,23.6,2,9,0,estandar,transferencia,0,0
4,43.81,2,50,1,premium,tarjeta,0,1
6,27.35,5,14,0,estandar,tarjeta,0,0
17,43.08,8,5,0,premium,tarjeta,0,0
20,37.04,8,15,0,premium,tarjeta,0,0
27,6.83,5,14,0,basico,tarjeta,0,0
34,19.63,11,22,0,estandar,transferencia,0,0
7,26.1,9,14,0,estandar,tarjeta,0,0
5,48.72,4,19,1,premium,tarjeta,0,0
23,17.86,6,0,3,basico,tarjeta,0,0
9,5.46,7,19,2,basico,tarjeta,1,0
12,47.48,9,2,2,premium,tarjeta,1,0
21,9.54,7,11,0,basico,transferencia,0,0
14,36.69,7,25,1,estandar,tarjeta,1,1
20,17.53,9,5,2,basico,transferencia,0,0
7,51.81,0,22,1,premium,tarjeta,0,0
16,48.21,5,3,2,premium,tarjeta,0,0
15,13.53,13,8,0,basico,tarjeta,0,0
26,23.39,6,47,1,estandar,tarjeta,1,0
30,9.6,6,24,1,basico,tarjeta,0,0
9,21.8,4,19,3,estandar,transferencia,0,1
6,27.47,4,10,3,estandar,transferencia,1,1
21,51.24,4,1,0,premium,tarjeta,0,0
3,10.57,7,4,1,basico,tarjeta,1,0
22,9.11,9,19,0,basico,efectivo,1,0
23,19.07,11,33,0,estandar,tarjeta,1,0
8,25.98,7,28,1,estandar,tarjeta,0,0
1,29.92,5,35,2,estandar,efectivo,0,1
24,17.12,7,7,1,basico,tarjeta,0,0
32,17.51,3,21,0,basico,tarjeta,1,1
30,46.66,2,15,0,premium,tarjeta,1,0
31,12.36,3,7,1,basico,transferencia,0,0
4,17.13,6,20,1,basico,tarjeta,0,1
13,40.56,11,12,0,premium,transferencia,0,0
15,10.24,8,10,0,basico,tarjeta,1,0
14,31.84,5,15,0,estandar,tarjeta,1,0
20,7.7,5,9,0,basico,tarjeta,1,0
5,44.86,12,9,1,premium,transferencia,0,0
3,27.53,6,21,1,estandar,tarjeta,1,0
2,45.33,7,8,1,premium,transferencia,1,0
25,16.6,5,3,0,basico,tarjeta,0,0
4,31.1,6,3,1,estandar,tarjeta,0,0
14,26.92,12,2,0,estandar,tarjeta,0,0
8,17.56,3,7,0,basico,tarjeta,0,0
8,8.29,6,28,0,basico,tarjeta,0,1
11,11.37,5,33,0,basico,transferencia,1,1
9,54.62,2,19,0,premium,efectivo,0,0
3,32.77,1,90,0,estandar,transferencia,0,1
11,19.89,4,33,0,estandar,tarjeta,1,1
7,24.95,6,12,2,estandar,tarjeta,0,0
6,25.54,10,4,1,estandar,transferencia,0,0
38,26.67,6,1,0,estandar,tarjeta,0,0
4,17.1,8,10,0,basico,transferencia,0,0
11,32.36,9,17,0,estandar,efectivo,0,0
15,12.15,6,15,1,basico,tarjeta,1,1
38,49.49,7,16,0,premium,efectivo,0,0
5,47.59,5,4,1,premium,transferencia,0,0
29,11.92,6,6,0,basico,tarjeta,0,0
11,18.21,8,19,0,estandar,efectivo,1,1
11,16.07,6,14,1,basico,tarjeta,0,0
19,47.42,9,65,1,premium,tarjeta,0,1
32,46.56,5,16,1,premium,tarjeta,0,0
8,41.07,6,18,1,premium,tarjeta,0,0
15,19.84,4,37,0,basico,tarjeta,0,1
14,12.61,13,64,0,basico,efectivo,0,1
13,7.43,9,26,0,basico,tarjeta,0,0
22,6.79,3,13,2,basico,tarjeta,0,0
7,14.71,4,10,0,basico,transferencia,0,0
9,14.83,4,86,0,basico,tarjeta,0,1
3,43.15,3,20,1,premium,transferencia,0,1
18,13.85,4,9,0,basico,tarjeta,0,0
13,14.67,4,3,0,basico,efectivo,0,1
32,45.56,5,26,0,premium,transferencia,0,0
5,22.19,14,10,0,estandar,tarjeta,0,0
41,28.85,1,47,1,estandar,tarjeta,0,1
20,28.35,6,2,1,estandar,tarjeta,0,0
20,47.27,7,3,0,premium,efectivo,0,0
8,21.67,8,7,0,estandar,transferencia,0,0
10,19.68,4,6,0,estandar,tarjeta,0,0
9,25.31,3,11,1,estandar,tarjeta,1,0
28,15.72,7,5,0,basico,efectivo,0,0
2,16.16,4,0,0,basico,tarjeta,0,0
11,27.34,5,30,1,estandar,transferencia,0,0
12,10.2,6,19,0,basico,transferencia,0,0
9,21.78,5,12,0,estandar,tarjeta,0,1
6,11.93,4,35,2,basico,tarjeta,0,1
1,11.97,5,20,1,basico,tarjeta,0,1
11,16.43,6,25,0,basico,tarjeta,0,0
18,43.08,4,15,0,premium,efectivo,0,0
13,10.41,3,16,0,basico,transferencia,0,1
6,33.22,13,14,0,estandar,transferencia,1,1
12,51.2,12,32,1,premium,tarjeta,0,0
32,8.47,14,1,0,basico,tarjeta,0,0
7,30.88,12,62,3,estandar,transferencia,0,1
14,7.51,12,13,0,basico,tarjeta,0,0
16,10.26,5,41,0,basico,tarjeta,1,0
4,23.72,6,2,1,estandar,tarjeta,1,0
10,44.69,10,17,0,premium,transferencia,0,0
10,14.48,10,4,0,basico,transferencia,1,0
13,25.43,10,16,0,estandar,tarjeta,1,0
27,14.46,6,54,2,basico,efectivo,0,1
5,23.39,10,18,1,estandar,tarjeta,1,1
29,26.5,3,17,0,estandar,tarjeta,0,0
19,25.32,7,5,0,estandar,tarjeta,0,0
41,19.45,5,16,0,estandar,transferencia,0,0
2,13.93,2,20,0,basico,tarjeta,1,0
1,25.38,10,1,0,estandar,tarjeta,1,0
56,22.14,20,10,0,estandar,tarjeta,0,0
4,23.3,4,55,2,estandar,transferencia,0,1
6,10.4,7,3,0,basico,transferencia,0,0
6,11.02,2,17,0,basico,tarjeta,1,1
18,19.04,1,1,1,basico,efectivo,0,1
10,20.36,9,7,3,basico,tarjeta,0,0
7,5.0,4,0,1,basico,tarjeta,0,0
37,13.95,8,46,0,basico,tarjeta,0,1
1,28.82,6,2,1,estandar,transferencia,0,0
24,11.14,2,90,0,basico,tarjeta,0,1
12,48.71,1,1,1,premium,tarjeta,0,0
7,31.62,1,14,1,estandar,tarjeta,0,0
8,19.51,13,3,0,estandar,tarjeta,1,0
10,25.54,7,32,1,estandar,transferencia,0,1
6,32.83,14,13,0,estandar,efectivo,0,0
22,20.05,10,0,0,estandar,tarjeta,1,0
9,44.54,8,6,0,premium,transferencia,0,0
20,23.21,9,21,1,estandar,tarjeta,0,0
8,29.21,9,46,0,estandar,tarjeta,1,1
14,29.76,9,2,0,estandar,tarjeta,1,0
14,25.65,7,19,1,estandar,efectivo,1,0
13,12.13,9,25,0,basico,tarjeta,1,1
29,18.12,10,5,0,estandar,transferencia,0,0
31,30.69,4,24,1,estandar,tarjeta,0,0
21,43.59,6,12,0,premium,transferencia,1,0
25,24.43,1,10,0,estandar,tarjeta,1,0
20,28.89,2,30,0,estandar,efectivo,1,1
9,45.79,5,2,0,premium,transferencia,1,0
11,29.02,7,33,0,estandar,tarjeta,1,1
2,14.41,2,11,1,basico,transferencia,0,1
6,12.82,8,3,3,basico,transferencia,0,0
4,13.24,4,18,1,basico,tarjeta,1,0
7,7.51,12,31,1,basico,tarjeta,0,0
15,11.4,6,4,1,basico,transferencia,1,1
8,29.34,9,37,2,estandar,transferencia,0,1
22,21.41,15,1,1,estandar,tarjeta,0,0
6,9.14,8,1,0,basico,efectivo,1,0
19,21.48,11,31,1,estandar,tarjeta,1,0
5,12.61,1,90,0,basico,tarjeta,0,1
28,50.61,13,5,0,premium,tarjeta,0,0
6,14.19,10,48,0,basico,tarjeta,0,0
17,16.29,4,29,2,estandar,tarjeta,0,1
7,14.59,6,47,0,basico,tarjeta,0,1
34,23.23,9,49,0,estandar,tarjeta,0,0
33,14.04,15,5,0,basico,tarjeta,0,0
17,24.4,5,31,0,estandar,transferencia,0,0
16,8.56,6,38,2,basico,tarjeta,0,1
21,44.71,9,13,0,premium,transferencia,0,0
19,23.23,8,43,0,estandar,tarjeta,0,1
23,26.23,4,35,1,estandar,tarjeta,0,0
6,41.46,6,13,0,premium,tarjeta,0,0
13,40.5,3,10,0,premium,transferencia,1,0
8,14.93,9,2,0,basico,tarjeta,0,0
33,16.44,0,44,2,basico,tarjeta,0,1
4,14.32,5,8,0,basico,transferencia,0,0
37,9.4,8,14,0,basico,transferencia,1,0
13,22.04,4,29,0,estandar,transferencia,0,0
23,42.27,11,66,1,premium,tarjeta,0,1
8,48.56,14,80,1,premium,tarjeta,0,1
4,21.7,3,3,0,estandar,tarjeta,0,0
32,28.54,9,3,0,estandar,transferencia,0,0
18,47.55,3,15,1,premium,tarjeta,0,0
5,49.95,3,37,2,premium,tarjeta,1,0
11,16.25,11,3,0,basico,tarjeta,0,0
11,27.17,11,2,1,estandar,tarjeta,0,0
17,39.13,0,66,0,premium,transferencia,0,1
6,14.44,11,8,0,basico,tarjeta,0,0
4,12.46,12,7,0,basico,tarjeta,0,0
14,43.51,2,25,0,premium,tarjeta,0,0
6,50.45,9,5,1,premium,tarjeta,1,1
33,44.39,12,36,1,premium,tarjeta,1,0
22,22.88,6,12,1,estandar,tarjeta,0,0
21,16.5,8,4,1,basico,transferencia,0,0
2,10.38,13,31,0,basico,transferencia,1,0
9,22.68,13,24,1,estandar,efectivo,0,1
10,20.49,19,1,0,estandar,efectivo,1,0
5,21.72,12,1,0,estandar,tarjeta,0,0
19,22.06,8,23,0,estandar,tarjeta,0,0
17,14.48,6,3,0,basico,tarjeta,1,0
21,20.92,6,33,0,estandar,transferencia,0,1
25,5.0,8,30,0,basico,tarjeta,1,0
24,13.21,11,33,1,basico,tarjeta,0,1
59,9.46,6,32,0,basico,tarjeta,0,0
12,11.93,5,1,1,basico,tarjeta,0,0
11,50.13,11,13,1,premium,transferencia,0,0
19,12.29,17,16,1,basico,transferencia,0,0
28,18.04,4,6,0,basico,tarjeta,0,0
3,24.73,6,3,1,estandar,efectivo,0,0
7,29.03,4,1,2,estandar,tarjeta,0,0
8,9.81,14,41,0,basico,tarjeta,0,0
13,12.43,3,90,0,basico,tarjeta,0,1
9,8.27,14,50,1,basico,transferencia,0,1
25,21.74,10,1,0,estandar,tarjeta,0,0
15,11.1,4,0,2,basico,tarjeta,0,0
11,6.69,6,22,1,basico,efectivo,0,1
17,12.64,1,36,1,basico,tarjeta,0,1
2,23.79,6,16,1,estandar,tarjeta,1,0
17,12.94,6,37,1,basico,transferencia,0,1
6,39.75,9,1,1,premium,efectivo,1,0
22,14.81,9,18,0,basico,transferencia,1,0
2,31.79,6,14,1,estandar,efectivo,0,1
18,17.95,3,35,0,basico,tarjeta,0,1
6,19.62,7,22,0,basico,transferencia,0,1
28,12.17,1,24,1,basico,transferencia,0,0
3,43.59,1,9,2,premium,tarjeta,0,0
13,46.95,6,33,2,premium,tarjeta,1,1
20,11.05,7,17,0,basico,efectivo,0,1
16,5.04,6,18,2,basico,tarjeta,0,0
16,48.28,6,28,1,premium,tarjeta,0,0
4,24.06,3,7,0,estandar,efectivo,0,0
4,6.13,5,0,1,basico,efectivo,0,0
15,9.97,7,8,1,basico,efectivo,0,0
14,24.15,5,5,1,estandar,efectivo,1,1
5,25.05,9,12,1,estandar,tarjeta,1,1
5,25.1,1,51,0,estandar,efectivo,1,1
12,50.48,2,12,0,premium,tarjeta,1,0
9,19.85,8,14,0,estandar,transferencia,0,1
40,11.39,9,0,0,basico,tarjeta,1,0
30,21.48,14,13,0,estandar,transferencia,1,0
22,17.02,10,3,1,basico,tarjeta,0,0
32,9.75,9,17,0,basico,transferencia,0,0
7,10.62,3,74,0,basico,tarjeta,0,1
8,16.2,7,3,1,basico,tarjeta,0,0
27,30.3,3,12,0,estandar,tarjeta,0,0
13,17.89,11,43,0,basico,tarjeta,0,1
13,5.43,7,47,0,basico,transferencia,0,1
5,26.93,11,0,0,estandar,tarjeta,0,0
26,26.08,8,27,1,estandar,tarjeta,0,0
19,24.8,2,16,0,estandar,tarjeta,0,0
10,45.27,4,21,1,premium,tarjeta,1,0
8,30.14,4,13,1,estandar,transferencia,0,0
29,16.15,3,4,0,basico,tarjeta,1,0
7,28.59,0,52,2,estandar,tarjeta,0,1
3,25.83,5,20,3,estandar,tarjeta,0,1
30,21.08,9,0,0,basico,tarjeta,0,0
30,10.4,7,40,0,basico,transferencia,1,0
7,5.54,6,65,0,basico,tarjeta,1,1
46,23.94,12,17,0,estandar,tarjeta,0,0
12,12.23,7,36,0,basico,transferencia,0,0
8,17.21,1,17,1,basico,tarjeta,1,1
18,42.96,5,59,2,premium,tarjeta,0,1
4,46.96,9,4,1,premium,tarjeta,0,0
6,6.09,5,27,1,basico,efectivo,1,1
15,49.33,9,5,0,premium,tarjeta,1,0
14,12.27,11,28,1,basico,tarjeta,0,0
23,43.88,5,21,0,premium,efectivo,1,0
5,53.53,2,55,1,premium,transferencia,1,1
41,16.28,10,1,0,basico,transferencia,1,0
9,20.84,5,4,1,estandar,efectivo,0,0
13,44.56,7,17,0,premium,tarjeta,0,0
9,55.95,6,51,0,premium,transferencia,0,1
4,52.92,1,11,1,premium,transferencia,0,0
12,28.69,6,45,1,estandar,tarjeta,0,1
20,5.0,4,17,0,basico,tarjeta,0,0
11,50.33,4,14,2,premium,tarjeta,1,0
6,22.46,5,57,1,estandar,efectivo,0,1
24,30.29,16,15,0,estandar,tarjeta,0,0
24,9.11,10,23,0,basico,tarjeta,0,0
10,26.96,3,51,1,estandar,transferencia,0,1
16,9.44,9,12,0,basico,transferencia,1,0
24,23.55,7,26,0,estandar,tarjeta,0,0
20,14.49,2,4,1,basico,transferencia,0,0
16,19.72,3,36,1,estandar,tarjeta,0,1
19,54.49,5,10,2,premium,transferencia,0,0
17,20.89,12,35,0,estandar,tarjeta,0,0
13,20.67,4,1,0,estandar,tarjeta,0,0
5,14.5,6,61,1,basico,transferencia,0,1
6,50.17,4,66,2,premium,tarjeta,0,1
17,23.71,2,41,0,estandar,tarjeta,1,1
9,7.71,6,3,1,basico,tarjeta,1,0
17,8.31,8,42,1,basico,transferencia,0,1
4,7.88,5,12,1,basico,efectivo,0,0
7,26.23,0,14,1,estandar,transferencia,1,1
11,44.72,12,71,0,premium,efectivo,0,1
1,26.7,4,19,1,estandar,efectivo,1,1
6,13.46,1,90,0,basico,tarjeta,0,1
8,48.3,7,1,2,premium,tarjeta,0,0
14,10.36,0,4,2,basico,efectivo,0,1
10,42.05,15,64,1,premium,efectivo,0,1
15,12.63,15,28,1,basico,efectivo,0,0
13,24.78,10,42,0,estandar,transferencia,0,1
10,46.01,9,13,1,premium,tarjeta,0,0
8,9.15,2,2,2,basico,efectivo,0,1
13,27.57,5,7,0,estandar,efectivo,1,0
28,40.29,21,20,0,premium,transferencia,0,0
8,10.24,9,3,2,basico,efectivo,0,0
40,16.52,3,3,0,basico,tarjeta,0,0
14,20.47,2,14,1,estandar,efectivo,0,1
23,16.2,1,7,1,basico,tarjeta,1,0
16,6.36,10,13,2,basico,efectivo,0,1
18,18.66,0,60,0,estandar,tarjeta,1,1
6,19.02,10,13,1,estandar,tarjeta,0,0
9,12.47,4,52,0,basico,tarjeta,1,1
3,14.92,6,10,2,basico,tarjeta,0,0
11,50.17,4,1,4,premium,tarjeta,0,0
19,29.85,12,69,0,estandar,efectivo,0,1
11,48.45,6,27,0,premium,tarjeta,0,0
23,8.67,2,17,1,basico,efectivo,0,1
9,41.64,4,5,2,premium,tarjeta,1,0
7,28.15,0,25,3,estandar,tarjeta,1,1
8,17.69,4,41,0,basico,transferencia,0,1
20,40.88,18,15,0,premium,transferencia,0,0
34,30.18,8,32,0,estandar,tarjeta,0,0
42,5.0,5,16,1,basico,transferencia,0,0
19,13.56,5,28,0,basico,transferencia,0,1
23,24.58,2,3,1,estandar,tarjeta,0,0
3,11.18,6,79,1,basico,efectivo,0,1
4,12.13,8,64,1,basico,transferencia,0,1
6,8.59,11,2,0,basico,transferencia,0,0
29,13.78,9,5,0,basico,tarjeta,0,0
29,12.24,5,32,0,basico,tarjeta,1,0
48,28.74,1,5,0,estandar,tarjeta,0,0
6,18.36,3,4,1,basico,transferencia,0,0
12,12.51,17,2,2,basico,transferencia,0,0
3,21.73,8,11,1,estandar,tarjeta,0,0
4,7.45,3,46,0,basico,transferencia,0,1
10,31.79,6,3,1,estandar,tarjeta,0,0
6,18.28,4,3,3,basico,tarjeta,0,0
7,15.55,5,2,0,basico,efectivo,0,0
8,12.24,16,9,0,basico,tarjeta,0,0
31,28.26,10,16,0,estandar,tarjeta,0,0
26,17.22,8,37,3,basico,tarjeta,0,1
6,42.53,2,10,0,premium,tarjeta,0,0
25,12.12,16,3,0,basico,transferencia,0,0
7,20.58,7,0,1,estandar,efectivo,1,0
3,24.48,6,4,0,estandar,tarjeta,0,0
8,18.18,7,26,0,basico,tarjeta,0,0
15,29.31,2,20,1,estandar,tarjeta,0,1
6,12.54,15,6,0,basico,tarjeta,0,0
19,5.0,5,4,2,basico,tarjeta,0,1
8,9.38,9,8,1,basico,tarjeta,1,1
16,25.41,9,6,0,estandar,efectivo,0,0
5,44.14,13,2,0,premium,tarjeta,0,0
13,12.13,0,2,1,basico,tarjeta,0,1
6,25.97,9,27,0,estandar,tarjeta,1,1
